[2016-04-25T10:11:04+03:00] INFO: Forking chef instance to converge...
[2016-04-25T10:11:04+03:00] INFO: *** Chef 12.9.38 ***
[2016-04-25T10:11:04+03:00] INFO: Platform: x86_64-linux
[2016-04-25T10:11:04+03:00] INFO: Chef-client pid: 3703
[2016-04-25T10:11:17+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/pam-auth/WEB-INF/lib/libpam4j-1.6.jar in the cache.
[2016-04-25T10:11:17+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/pam-auth/.timestamp2 in the cache.
[2016-04-25T10:11:18+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/META-INF/MANIFEST.MF in the cache.
[2016-04-25T10:11:18+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/scm-api.jpi in the cache.
[2016-04-25T10:11:18+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/META-INF/maven/org.jenkins-ci.plugins/git-client/pom.xml in the cache.
[2016-04-25T10:11:18+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/licenses.xml in the cache.
[2016-04-25T10:11:18+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/META-INF/maven/org.jenkins-ci.plugins/git-client/pom.properties in the cache.
[2016-04-25T10:11:18+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client.jpi in the cache.
[2016-04-25T10:11:18+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/pam-auth/WEB-INF/lib/jna-3.4.0.jar in the cache.
[2016-04-25T10:11:19+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/cvs.jpi in the cache.
[2016-04-25T10:11:19+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/junit.jpi in the cache.
[2016-04-25T10:11:19+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/org.eclipse.jgit.http.server-3.7.1.201504261725-r.jar in the cache.
[2016-04-25T10:11:19+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/delivery-pipeline-plugin.jpi in the cache.
[2016-04-25T10:11:19+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/findbugs-annotations-1.3.9-1.jar in the cache.
[2016-04-25T10:11:19+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/git-client.jar in the cache.
[2016-04-25T10:11:19+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/jcip-annotations-1.0.jar in the cache.
[2016-04-25T10:11:20+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/JavaEWAH-0.7.9.jar in the cache.
[2016-04-25T10:11:20+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/httpcore-4.4.1.jar in the cache.
[2016-04-25T10:11:20+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/commons-logging-1.2.jar in the cache.
[2016-04-25T10:11:20+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/jsch-0.1.50.jar in the cache.
[2016-04-25T10:11:20+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/.timestamp2 in the cache.
[2016-04-25T10:11:20+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/index.html in the cache.
[2016-04-25T10:11:20+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/slf4j-api-1.7.2.jar in the cache.
[2016-04-25T10:11:20+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/org.eclipse.jgit.java7-3.7.1.201504261725-r.jar in the cache.
[2016-04-25T10:11:20+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/16x16/green.gif in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/make.sh in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/green.svg in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/16x16/green.png in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/16x16/green_anime.gif in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/makeBalls.sh in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/httpclient-4.4.1.jar in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/index_zh_TW.html in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/META-INF/MANIFEST.MF in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/META-INF/maven/org.jenkins-ci.plugins/greenballs/pom.xml in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/git-client/WEB-INF/lib/org.eclipse.jgit-3.7.1.201504261725-r.jar in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/24x24/green.gif in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/META-INF/maven/org.jenkins-ci.plugins/greenballs/pom.properties in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/24x24/green.png in the cache.
[2016-04-25T10:11:21+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/24x24/green_anime.gif in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/32x32/green.gif in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/help-globalConfig.html in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/32x32/green_anime.gif in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/32x32/green.png in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/WEB-INF/licenses.xml in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/WEB-INF/lib/classes.jar in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/16x16/green.gif in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/index_fr.html in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/svg2png in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/16x16/red_anime.gif in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/16x16/yellow_anime.gif in the cache.
[2016-04-25T10:11:22+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/16x16/yellow.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/24x24/green.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/24x24/green_anime.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/24x24/red_anime.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/24x24/yellow.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/24x24/yellow_anime.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/16x16/red.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/32x32/green.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/24x24/red.gif in the cache.
